"rgn_id","year","percent"
1,2003,8.96604349
2,2003,8.96604349
3,2003,8.96604349
4,2003,8.96604349
1,2004,8.78533231
2,2004,8.78533231
3,2004,8.78533231
4,2004,8.78533231
1,2005,8.37121212
2,2005,8.37121212
3,2005,8.37121212
4,2005,8.37121212
1,2006,7.63758892
2,2006,7.63758892
3,2006,7.63758892
4,2006,7.63758892
1,2007,6.82745826
2,2007,6.82745826
3,2007,6.82745826
4,2007,6.82745826
1,2008,6.30961114999999
2,2008,6.30961114999999
3,2008,6.30961114999999
4,2008,6.30961114999999
1,2009,8.22831727000001
2,2009,8.22831727000001
3,2009,8.22831727000001
4,2009,8.22831727000001
1,2010,7.2249621914
2,2010,7.2249621914
3,2010,7.2249621914
4,2010,7.2249621914
