"rgn_id","year","area_km2"
4,0,4
3,0,4
1,0,4
2,0,4
4,1941,2
3,1941,2
1,1941,2
2,1941,2
4,1948,2
3,1948,2
1,1948,2
2,1948,2
4,1951,3
3,1951,3
1,1951,3
2,1951,3
4,1959,2
3,1959,2
1,1959,2
2,1959,2
4,1961,2
3,1961,2
1,1961,2
2,1961,2
4,1963,1
3,1963,1
1,1963,1
2,1963,1
4,1968,1
3,1968,1
1,1968,1
2,1968,1
4,1969,3
3,1969,3
1,1969,3
2,1969,3
4,1972,1
3,1972,1
1,1972,1
2,1972,1
4,1974,1
3,1974,1
1,1974,1
2,1974,1
4,1975,2
3,1975,2
1,1975,2
2,1975,2
4,1976,1
3,1976,1
1,1976,1
2,1976,1
4,1977,1
3,1977,1
1,1977,1
2,1977,1
4,1978,2
3,1978,2
1,1978,2
2,1978,2
4,1979,1
3,1979,1
1,1979,1
2,1979,1
4,1980,3
3,1980,3
1,1980,3
2,1980,3
4,1981,4
3,1981,4
1,1981,4
2,1981,4
4,1982,7
3,1982,7
1,1982,7
2,1982,7
4,1983,15
3,1983,15
1,1983,15
2,1983,15
4,1984,3
3,1984,3
1,1984,3
2,1984,3
4,1987,3
3,1987,3
1,1987,3
2,1987,3
4,1988,1
3,1988,1
1,1988,1
2,1988,1
4,1989,3
3,1989,3
1,1989,3
2,1989,3
4,1990,6
3,1990,6
1,1990,6
2,1990,6
4,1991,3
3,1991,3
1,1991,3
2,1991,3
4,1992,7
3,1992,7
1,1992,7
2,1992,7
4,1993,3
3,1993,3
1,1993,3
2,1993,3
4,1994,8
3,1994,8
1,1994,8
2,1994,8
4,1995,50
3,1995,50
1,1995,50
2,1995,50
4,1996,210
3,1996,210
1,1996,210
2,1996,210
4,1997,43
3,1997,43
1,1997,43
2,1997,43
4,1998,1768
3,1998,1768
1,1998,1768
2,1998,1768
4,1999,12
3,1999,12
1,1999,12
2,1999,12
4,2000,20
3,2000,20
1,2000,20
2,2000,20
4,2001,22
3,2001,22
1,2001,22
2,2001,22
4,2002,76
3,2002,76
1,2002,76
2,2002,76
4,2003,27
3,2003,27
1,2003,27
2,2003,27
4,2004,29
3,2004,29
1,2004,29
2,2004,29
4,2005,62
3,2005,62
1,2005,62
2,2005,62
4,2006,25
3,2006,25
1,2006,25
2,2006,25
4,2007,50
3,2007,50
1,2007,50
2,2007,50
4,2008,19
3,2008,19
1,2008,19
2,2008,19
4,2009,18
3,2009,18
1,2009,18
2,2009,18
4,2010,11
3,2010,11
1,2010,11
2,2010,11
4,2011,20
3,2011,20
1,2011,20
2,2011,20
4,2012,11
3,2012,11
1,2012,11
2,2012,11
